the	6187267
of	2941444
ąnd	2682863
a’	2126369
in	1812609
too	1620850
hit	1089186
is	998389
wæs	923948
too	917579
ih	884599
for	833360
yeow	695498
hee	681255
beo	662516
with	652027
on	647344
thæt	628999
bei	507317
æt	478162
ạr	470943
no’t	462486
this	461945
b’·out	454096
they	433441
his	426896
from	413532
ha’·d	409012
sheo	380257
hwe·l’ch	372031
or	370808
wee	358039
an	343063
wear	322824
thæt	286913
beo·n	268723
habh	268490
they·r	260919
ha’·s	259431
wu’·d	255188
hwæt	249466
will	244822
thear	239460
yif	237089
cąn	234386
ạll	227737
her	218258
ạ’·s’	208623
hwoa	205432
habh	205195
doo	196635
oan	190499
sey·d	185277
the’m	173414
sųm	171174
cou·d	168387
him	165014
in·too	163469
hit·s	163081
then	160652
twoa	156111
upp	154288
teim	153679
mei	152619
out	150958
swoa	147324
dyd	143405
o’·b’·out	142118
yeow·r	138334
nou	137801
mee	137151
noa	137026
moa·r	134029
ųther	129451
jųst	125465
thee·s	125442
ạll·swoa	124884
people	123916
ean·iy	123655
fir·st	118699
oan·lei’	115994
neiw	114655
may	113024
veray	111538
shu’·d	111236
leic	108988
her	108710
than	108618
ạ’·s’	106427
hou	101508
wel	96080
wey	95313
our	95001
be·tweo·n	90541
yeạr·s	90173
mąniy	89659
thoa·s	88862
thear	88490
beo·ing	87105
be·cause	85183
doo	83661
yeạh	83382
threi	79759
doun	76798
swe·l’ch	75524
bæc	75494
good	74839
yeạr	73757
thruh	73166
moost	72059
still	71717
efn	70962
cnoaw	70238
too	70164
heer	69947
get	69636
oaw’n	69459
doo·s	68725
oah	68413
la’·st	68063
la’·st	68063
noa	67999
moa·r	67198
goa·ing	64163
swoa	64028
æfter	62570
æfter	62570
ous	62350
mįht	61446
sąme	61402
mych	60838
seo	60628
yeįs	60592
goa’	59772
mace	59664
dæy	58863
mąnn	58769
an·ųther	58182
wẹr·old	58070
seo	57933
got	57451
wẹrc	57401
hou·ea·f’r	57150
leif	56592
o’·gean	56229
o’·gean·st	56208
thenc	56091
n·ea·f’r	55899
ųnder	55498
moa·st	54966
ạld	54595
ofer	53619
cnoaw	53034
sųm·thing	52452
m’r	52382
take	51486
hwuy	50877
ea·l’ch	50732
hweil	50548
part	50195
on	49967
nųmber	49286
out of	49038
ma’e·d	48397
dif·fer·ent	48373
reäl·lei’	48062
wen’·t	48028
cąme	46919
child·r·an	46577
ạll·wey·s	46228
feower	46115
with·out	45867
oan	45845
with·in	45042
system	44651
loc·al	44220
diur·ing	44013
moa·st	43792
ạll·thoh	43635
neạh·’st	43139
smæl	43008
caes	42924
greạt	42691
thing·s	42409
soçi·al	41605
end	41468
sey	41291
queit	41169
boath	41162
feif	40738
o’·b’·out	40710
ea·f’r·ea’	40114
wei’·menn	39886
sey·s	39773
important	39265
plæçe	39201
hous	39116
tooc	38831
be·fore	38670
inform·açion	38641
menn	38324
oftn	37640
seo·n	37541
muney	37355
scool	37331
naçion·al	37211
fact	36970
niht	36521
ha’·d	36378
gif·en	36297
secund	35922
poynt	35876
off	35628
doo·n	35473
habh·ing	35274
thing	35203
brett·ish	35174
lųnden	35142
take·n	35108
thenc	35104
areä	35096
per·happ·s	35039
cųmpanei	35026
in	34946
ạll	34704
hąnd	34357
ạll·read·iy	34292
poss·ibl	34178
noa·thing	34064
hwæn	33947
mm	33893
hoąm	33783
large	33768
yeįt	33658
bisiy·nes	33573
wæter	33287
seid	33240
hwether	33169
dæy·s	33048
iuse·d	32968
John	32813
develop·ment	32276
wice	32216
state	32067
swe·l’ch a’·s’	32060
gįfe	32016
heạ’d	31925
want	31871
riht	31638
ạll·moa·st	31588
cųntree	31408
mych	31284
him·self	31082
find	31052
pow·er	30962
of cours	30942
cųm	30909
thooght	30871
yųng	30831
roum	30794
able	30410
politic·al	30366
six	30355
læt·er	30326
ąn’·til	29994
get	29852
membr	29660
eạy·s	29653
public	29475
iuse	29306
serfis	29146
mean	29089
problem	28991
thoh	28801
heạh	28698
goa	28605
too·ward·s	28600
ean·iy·thing	28321
ųther·s	28255
werr	27842
car	27798
boa·th’	27644
doo·ing	27632
police	27508
interest	27436
prob·ab’·lei’	27303
hwear	26814
sey	26109
soaw	26076
full	26053
cneow	26018
act·iu·al·lei’	25990
ediu·cat·ion	25973
policy	25941
ea·f’r	25895
ạm	25884
be'·st	25846
too·dæy	25775
teim·s	25677
ye·noogh	25635
looc·ing	25477
dore	25360
sei’n·s	25352
leas	25147
form	25074
bodiy	25043
too·gædher	24960
hwæn	24913
want	24858
moon’·th·s	24809
big	24684
oan·lei’	24641
nąme	24592
luyt·el	24572
heal·th	24527
lagh	24510
booc	24479
ląng	24468
word·s	24399
moodher	24396
